id,topic,sub-topic
1,Types of Nouns (Concrete/Abstract/Collective),Practice: Basic noun error drill
2,Countable/Uncountable + Quantifiers,Practice: Pattern-based questions
3,Noun–Verb Agreement + tricky noun patterns,Practice: Error detection
4,High-level banking noun traps,Practice: Mixed mains-level exercise
5,Personal/Reflexive/Emphatic Pronouns,Practice: Error spotting
6,Relative Pronouns (who/whom/which/that),Practice: 20 questions
7,Indefinite Pronouns + common traps,Practice: Pattern-based questions
8,Pronoun–Antecedent Agreement,Practice: Mains error drill
9,"Advanced pronoun usage (each, every, none, all)",Practice: High-level practice
10,Use of A/An/The,Basic Rules – Practice: Article exercise
11,Omission Rules + Special Cases,Practice: Pattern-based practice
12,Mains-level article traps,Practice: High-level questions
13,Types of adjectives + order,Practice: Error spotting
14,Degrees of comparison,Practice: Fillers
15,Confusing adjective pairs,Practice: Improvement questions
16,High-level adjective traps,Practice: Mains patterns
17,Present Tenses,Practice: Error spotting
18,Past Tenses,Practice: Translation + tense drill
19,Future Tenses,Practice: Usage practice
20,Perfect vs Perfect Continuous,Practice: Mixed tense drill
21,Tense consistency + timeline,Practice: 20 questions
22,Banking-level tense traps,Practice: High-level error detection
23,Main vs Helping Verbs,Practice: Basic drills
24,Transitive vs Intransitive,Practice: MCQs
25,Linking/State/Action Verbs,Practice: Improvement
26,"Verb Patterns (V1+to, V+ing, V+obj+inf)",Practice: Pattern drill
27,Causative Verbs (make/let/get/have),Practice: Error spotting
28,Gerunds & Infinitives,Practice: Mains questions
29,Advanced Verb Traps,Practice: Mixed mains set
30,Coordinating Conjunctions,Practice: Spotting
31,Subordinating Conjunctions,Practice: 20 questions
32,Correlative Conjunctions,Practice: Error patterns
33,Conditional Connectors,Practice: Fillers
34,"Logical Connectors (however, moreover, although)",Practice: RC connector drills
35,Advanced conjunction traps,Practice: Improvement questions
36,Basic determiners,Practice: Error spotting
37,Quantifiers,Practice: Pattern-based questions
38,Demonstratives/Possessives,Practice: Error drills
39,Determiner traps (many/much/most/majority),Practice: Mains questions
40,Types of Adverbs,Practice: Basic exercises
41,Adverb Formation + Position,Practice: Error spotting
42,Adverb vs Adjective Confusion,Practice: Improvement
43,Negative Adverbs (rarely/seldom/barely),Practice: Pattern questions
44,Frequency/Probability Adverbs,Practice: MCQ drills
45,High-level adverb traps,Practice: Mains questions
46,Basic prepositions (time/place),Practice: Drills
47,Movement/Direction prepositions,Practice: Fillers
48,Preposition + Gerund,Practice: Pattern questions
49,Verb–preposition collocations,Practice: High-frequency list
50,Adjective–preposition pairings,Practice: Error spotting
51,Prepositional phrases,Practice: Improvement
52,Abstract prepositions (of/in/on/at/by/for),Practice: Mains patterns
53,Advanced preposition traps,Practice: Hard error detection
54,Parallelism,Practice: Improvement
55,Redundancy,Practice: Sentence correction
56,Modifier Errors,Practice: Error spotting
57,Faulty Comparisons,Practice: Mixed questions
58,Misc Grammar Marathon,Practice: 30-min full test
59,Root-based learning (Set 1), practice
60,Root-based learning (Set 2), practice
61,Synonyms/Antonyms (banking-high frequency), practice
62,One-word substitutions, practice
63,Idioms & Phrases (100+), practice
64,Phrasal Verbs (100+), practice
65,Contextual vocabulary (RC focused),practice
66,Multiple-meaning words,practice
67,Advanced vocabulary usage,practice
68,Vocabulary revision,High level
69,Vocab + Cloze Test Practice,Practice
70,Vocabulary Full Test (Pre + Mains mix),Practice
71,Reading skills,"skimming + scanning"
72,Structure of RC,"argument, evidence,tone"
73,RC,Fact-based passages
74,RC,Inference-based
75,RC,Assumption/Implication
76,RC,Tone & Style
77,RC,Economics theme
78,RC,Social Issues theme
79,RC,Banking/Finance theme
80,RC,Ethics/Philosophy theme
81,RC,Mixed Prelims Set
82,RC,Mixed Mains Set
83,Parajumbles (basic), practice
84,Parajumbles (advanced), practice
85,Para Completion, practice
86,Summary Writing,Basics
87,Summary Writing,Practice
88,Full Reading Test (Pre-level), practice
89,Fillers (single + double), practice
90,Sentence Improvement, practice
91,Error Detection intensive, practice
92,Cloze Test (banking style), practice
93,Para Completion (mains level), practice
94,Word Usage (multiple-meaning words), practice
95,Mixed Grammar MCQs, practice
96,Mixed Reading MCQs, practice
97,All-topic revision test, practice
98,Prelims English Mock Test, practice
99,Mains English Mock Test, practice
100,Complete Revision Grand Finale, practice
101,Descriptive Classes, practice
102,Descriptive Classes, practice
103,Descriptive Classes, practice
104,Descriptive Classes, practice
105,Descriptive Classes, practice
